PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,086016,Malformazioni congenite del sistema circolatorio,2,0
2009-2017,086016,"Sintomi, segni, risultati anomali e cause mal definite",29,54
2009-2017,086016,Cause esterne di traumatismo e avvelenamento,11,6
2009-2017,086016,Accidenti,7,5
2009-2017,086016,Accidenti di trasporto,1,0
2009-2017,086016,Cadute accidentali,4,5
2009-2017,086016,Avvelenamento accidentale,1,0
2009-2017,086016,Suicidio e autolesione intenzionale,1,1
2009-2017,086016,"Omicidio, aggressione",2,0
2009-2017,086017,Tumore,4,6
2009-2017,086017,Tumori maligni,4,6
2009-2017,086017,Tumori maligni del colon,1,0
2009-2017,086017,Tumori maligni del fegato e dei dotti biliari intraepatici,1,0
2009-2017,086017,Tumori maligni del pancreas,1,1
2009-2017,086017,Tumori maligni di altre parti dell'utero,0,1
2009-2017,086017,Tumori maligni della vescica,1,0
2009-2017,086017,Tumori maligni del tessuto linfatico/ematopoietico,0,2
2009-2017,086017,"Malattie endocrine, nutrizionali e metaboliche",9,8
2009-2017,086017,Diabete mellito,9,8
2009-2017,086017,Disturbi psichici e comportamentali,0,2
2009-2017,086017,Malattie del sistema nervoso e degli organi di senso,1,0
2009-2017,086017,Malattie del sistema circolatorio,19,22
2009-2017,086017,Malattie ischemiche del cuore,11,7
2009-2017,086017,Altre malattie del cuore,0,3
2009-2017,086017,Malattie cerebrovascolari,7,5
2009-2017,086017,Malattie del sistema respiratorio,2,3
2009-2017,086017,Malattie croniche delle basse vie respiratorie,1,3
2009-2017,086017,Malattie dell'apparato digerente,1,2
2009-2017,086017,Malattie epatiche croniche,1,0
2009-2017,086017,Malattie del sistema genitourinario,4,3
2009-2017,086017,Malattie del rene e dell'uretere,4,3
2009-2017,086017,"Sintomi, segni, risultati anomali e cause mal definite",1,1
2009-2017,086017,Cause esterne di traumatismo e avvelenamento,1,0
2009-2017,086017,Accidenti,1,0
2009-2017,086017,Cadute accidentali,1,0
2009-2017,086018,Malattie infettive e parassitarie,0,2
2009-2017,086018,Tubercolosi,0,1
2009-2017,086018,Tumore,133,96
2009-2017,086018,Tumori maligni,132,96
2009-2017,086018,"Tumori maligni delle labbra, cavità orale e faringe",2,0
2009-2017,086018,Tumori maligni dello stomaco,9,2
2009-2017,086018,Tumori maligni del colon,12,14
2009-2017,086018,Tumori maligni del retto e dell'ano,2,2
2009-2017,086018,Tumori maligni del fegato e dei dotti biliari intraepatici,7,3
2009-2017,086018,Tumori maligni del pancreas,12,4
2009-2017,086018,Tumori maligni della laringe e della trachea/bronchi/polm.,27,6
2009-2017,086018,Tumori maligni della cute,3,1
2009-2017,086018,Tumori maligni del seno,0,20
2009-2017,086018,Tumori maligni di altre parti dell'utero,0,9
2009-2017,086018,Tumori maligni dell'ovaio,0,10
2009-2017,086018,Tumori maligni della prostata,23,0
2009-2017,086018,Tumori maligni del rene,1,0
2009-2017,086018,Tumori maligni della vescica,3,2
2009-2017,086018,Tumori maligni del tessuto linfatico/ematopoietico,17,7
2009-2017,086018,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,2
2009-2017,086018,"Malattie endocrine, nutrizionali e metaboliche",43,57
2009-2017,086018,Diabete mellito,43,57
2009-2017,086018,Disturbi psichici e comportamentali,11,10
2009-2017,086018,Malattie del sistema nervoso e degli organi di senso,7,15
2009-2017,086018,Malattie del sistema circolatorio,179,220
2009-2017,086018,Malattie ischemiche del cuore,46,45
2009-2017,086018,Altre malattie del cuore,40,36
2009-2017,086018,Malattie cerebrovascolari,61,94
2009-2017,086018,Malattie del sistema respiratorio,46,16
2009-2017,086018,Influenza,1,0
2009-2017,086018,Polmonite,0,3
2009-2017,086018,Malattie croniche delle basse vie respiratorie,27,9
2009-2017,086018,Malattie dell'apparato digerente,30,18
2009-2017,086018,Malattie epatiche croniche,20,7
2009-2017,086018,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,086018,Malattie del sistema osteomuscolare e del tessuto connettivo,0,2
2009-2017,086018,Malattie del sistema genitourinario,23,31
2009-2017,086018,Malattie del rene e dell'uretere,23,30
2009-2017,086018,Malformazioni congenite e anormalità cromosomiche,0,1
2009-2017,086018,"Sintomi, segni, risultati anomali e cause mal definite",7,7
2009-2017,086018,Cause esterne di traumatismo e avvelenamento,23,14
2009-2017,086018,Accidenti,12,13
2009-2017,086018,Accidenti di trasporto,0,1
2009-2017,086018,Cadute accidentali,10,11
2009-2017,086018,Avvelenamento accidentale,1,0
2009-2017,086018,Suicidio e autolesione intenzionale,10,1
2009-2017,086019,Malattie infettive e parassitarie,0,1
2009-2017,086019,Tumore,111,77
2009-2017,086019,Tumori maligni,111,76
2009-2017,086019,"Tumori maligni delle labbra, cavità orale e faringe",4,2
2009-2017,086019,Tumori maligni dell'esofago,0,1
2009-2017,086019,Tumori maligni dello stomaco,3,3
2009-2017,086019,Tumori maligni del colon,16,7
2009-2017,086019,Tumori maligni del retto e dell'ano,1,2
2009-2017,086019,Tumori maligni del fegato e dei dotti biliari intraepatici,5,2
2009-2017,086019,Tumori maligni del pancreas,8,7
2009-2017,086019,Tumori maligni della laringe e della trachea/bronchi/polm.,39,11
2009-2017,086019,Tumori maligni del seno,0,12
2009-2017,086019,Tumori maligni della cervice uterina,0,1
2009-2017,086019,Tumori maligni di altre parti dell'utero,0,3
2009-2017,086019,Tumori maligni dell'ovaio,0,6
2009-2017,086019,Tumori maligni della prostata,7,0
2009-2017,086019,Tumori maligni del rene,1,1
2009-2017,086019,Tumori maligni della vescica,5,1
2009-2017,086019,Tumori maligni del tessuto linfatico/ematopoietico,8,9
2009-2017,086019,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,1
2009-2017,086019,"Malattie endocrine, nutrizionali e metaboliche",41,37
2009-2017,086019,Diabete mellito,40,37
2009-2017,086019,Disturbi psichici e comportamentali,6,8
2009-2017,086019,Abuso di alcool (compresa psicosi alcolica),0,1
2009-2017,086019,Malattie del sistema nervoso e degli organi di senso,3,5
2009-2017,086019,Malattie del sistema circolatorio,126,180
2009-2017,086019,Malattie ischemiche del cuore,46,47
2009-2017,086019,Altre malattie del cuore,17,28
2009-2017,086019,Malattie cerebrovascolari,49,78
2009-2017,086019,Malattie del sistema respiratorio,52,32
2009-2017,086019,Polmonite,11,18
2009-2017,086019,Malattie croniche delle basse vie respiratorie,28,11
2009-2017,086019,Malattie dell'apparato digerente,13,9
2009-2017,086019,Malattie epatiche croniche,5,7
2009-2017,086019,Malattie del sistema osteomuscolare e del tessuto connettivo,1,0
2009-2017,086019,Malattie del sistema genitourinario,14,12
2009-2017,086019,Malattie del rene e dell'uretere,14,12
2009-2017,086019,"Sintomi, segni, risultati anomali e cause mal definite",12,24
2009-2017,086019,Cause esterne di traumatismo e avvelenamento,11,7
2009-2017,086019,Accidenti,7,6
2009-2017,086019,Accidenti di trasporto,2,0
2009-2017,086019,Cadute accidentali,5,6
2009-2017,086019,Suicidio e autolesione intenzionale,4,1
2009-2017,086020,Tumore,79,58
2009-2017,086020,Tumori maligni,79,58
2009-2017,086020,Tumori maligni dell'esofago,3,0
2009-2017,086020,Tumori maligni dello stomaco,3,1
2009-2017,086020,Tumori maligni del colon,7,4
2009-2017,086020,Tumori maligni del retto e dell'ano,1,0
2009-2017,086020,Tumori maligni del fegato e dei dotti biliari intraepatici,4,1
2009-2017,086020,Tumori maligni del pancreas,7,3
2009-2017,086020,Tumori maligni della laringe e della trachea/bronchi/polm.,22,6
2009-2017,086020,Tumori maligni del seno,0,16
2009-2017,086020,Tumori maligni di altre parti dell'utero,0,4
2009-2017,086020,Tumori maligni dell'ovaio,0,3
2009-2017,086020,Tumori maligni della prostata,4,0
2009-2017,086020,Tumori maligni della vescica,6,2
2009-2017,086020,Tumori maligni del tessuto linfatico/ematopoietico,7,5
2009-2017,086020,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,1
2009-2017,086020,"Malattie endocrine, nutrizionali e metaboliche",20,26
2009-2017,086020,Diabete mellito,20,26
2009-2017,086020,Disturbi psichici e comportamentali,8,7
2009-2017,086020,Malattie del sistema nervoso e degli organi di senso,2,0
2009-2017,086020,Malattie del sistema circolatorio,71,120
2009-2017,086020,Malattie ischemiche del cuore,24,25
2009-2017,086020,Altre malattie del cuore,14,26
2009-2017,086020,Malattie cerebrovascolari,26,48
2009-2017,086020,Malattie del sistema respiratorio,51,15
2009-2017,086020,Malattie croniche delle basse vie respiratorie,12,10
2009-2017,086020,Malattie dell'apparato digerente,7,9
2009-2017,086020,Malattie epatiche croniche,5,5
2009-2017,086020,Malattie del sistema genitourinario,8,14
2009-2017,086020,Malattie del rene e dell'uretere,8,14
2009-2017,086020,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,086020,Malformazioni congenite e anormalità cromosomiche,1,0
2009-2017,086020,"Sintomi, segni, risultati anomali e cause mal definite",15,32
2009-2017,086020,Cause esterne di traumatismo e avvelenamento,10,8
2009-2017,086020,Accidenti,6,6
2009-2017,086020,Accidenti di trasporto,2,0
2009-2017,086020,Cadute accidentali,3,5
2009-2017,086020,Suicidio e autolesione intenzionale,3,2
2009-2017,086020,Eventi di intento indeterminato,1,0
2009-2017,087001,Malattie infettive e parassitarie,2,0
2009-2017,087001,Epatite virale,1,0
2009-2017,087001,Tumore,45,36
2009-2017,087001,Tumori maligni,45,36
2009-2017,087001,"Tumori maligni delle labbra, cavità orale e faringe",0,1
2009-2017,087001,Tumori maligni dell'esofago,0,1
2009-2017,087001,Tumori maligni dello stomaco,3,5
2009-2017,087001,Tumori maligni del colon,6,7
2009-2017,087001,Tumori maligni del retto e dell'ano,1,1
2009-2017,087001,Tumori maligni del fegato e dei dotti biliari intraepatici,1,2
2009-2017,087001,Tumori maligni del pancreas,2,2
2009-2017,087001,Tumori maligni della laringe e della trachea/bronchi/polm.,14,3
2009-2017,087001,Tumori maligni della cute,0,2
2009-2017,087001,Tumori maligni del seno,0,7
2009-2017,087001,Tumori maligni di altre parti dell'utero,0,1
2009-2017,087001,Tumori maligni della prostata,8,0
2009-2017,087001,Tumori maligni della vescica,1,1
2009-2017,087001,Tumori maligni del tessuto linfatico/ematopoietico,3,2
2009-2017,087001,"Malattie endocrine, nutrizionali e metaboliche",6,8
2009-2017,087001,Diabete mellito,6,8
2009-2017,087001,Disturbi psichici e comportamentali,1,3
2009-2017,087001,Malattie del sistema nervoso e degli organi di senso,3,5
2009-2017,087001,Malattie del sistema circolatorio,42,53
2009-2017,087001,Malattie ischemiche del cuore,10,5
2009-2017,087001,Altre malattie del cuore,10,14
2009-2017,087001,Malattie cerebrovascolari,15,24
2009-2017,087001,Malattie del sistema respiratorio,4,9
2009-2017,087001,Polmonite,0,1
2009-2017,087001,Malattie croniche delle basse vie respiratorie,1,4
2009-2017,087001,Malattie dell'apparato digerente,0,9
2009-2017,087001,Malattie epatiche croniche,0,4
2009-2017,087001,Malattie del sistema genitourinario,5,4
2009-2017,087001,Malattie del rene e dell'uretere,5,4
2009-2017,087001,"Sintomi, segni, risultati anomali e cause mal definite",3,3
2009-2017,087001,Cause esterne di traumatismo e avvelenamento,3,8
2009-2017,087001,Accidenti,3,7
2009-2017,087001,Accidenti di trasporto,2,0
2009-2017,087001,Cadute accidentali,0,5
2009-2017,087001,Avvelenamento accidentale,0,1
2009-2017,087001,Suicidio e autolesione intenzionale,0,1
2009-2017,087002,Malattie infettive e parassitarie,6,5
2009-2017,087002,Tubercolosi,1,0
2009-2017,087002,Infezione meningococcica,0,1
2009-2017,087002,Epatite virale,1,0
2009-2017,087002,Tumore,271,195
2009-2017,087002,Tumori maligni,265,188
2009-2017,087002,"Tumori maligni delle labbra, cavità orale e faringe",7,5
2009-2017,087002,Tumori maligni dell'esofago,4,0
2009-2017,087002,Tumori maligni dello stomaco,13,5
2009-2017,087002,Tumori maligni del colon,23,13
2009-2017,087002,Tumori maligni del retto e dell'ano,5,6
2009-2017,087002,Tumori maligni del fegato e dei dotti biliari intraepatici,15,5
2009-2017,087002,Tumori maligni del pancreas,22,20
2009-2017,087002,Tumori maligni della laringe e della trachea/bronchi/polm.,68,25
2009-2017,087002,Tumori maligni della cute,2,0
2009-2017,087002,Tumori maligni del seno,1,34
2009-2017,087002,Tumori maligni della cervice uterina,0,1
2009-2017,087002,Tumori maligni di altre parti dell'utero,0,8
2009-2017,087002,Tumori maligni dell'ovaio,0,11
2009-2017,087002,Tumori maligni della prostata,29,0
2009-2017,087002,Tumori maligni del rene,3,3
2009-2017,087002,Tumori maligni della vescica,19,4
2009-2017,087002,Tumori maligni del tessuto linfatico/ematopoietico,27,16
2009-2017,087002,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,2,6
2009-2017,087002,"Malattie endocrine, nutrizionali e metaboliche",46,60
2009-2017,087002,Diabete mellito,45,51
2009-2017,087002,Disturbi psichici e comportamentali,15,14
2009-2017,087002,Malattie del sistema nervoso e degli organi di senso,27,31
2009-2017,087002,Meningite (diverso da 03),1,1
2009-2017,087002,Malattie del sistema circolatorio,221,248
2009-2017,087002,Malattie ischemiche del cuore,66,42
2009-2017,087002,Altre malattie del cuore,33,47
2009-2017,087002,Malattie cerebrovascolari,87,108
2009-2017,087002,Malattie del sistema respiratorio,35,45
2009-2017,087002,Influenza,0,2
2009-2017,087002,Polmonite,2,7
2009-2017,087002,Malattie croniche delle basse vie respiratorie,22,21
2009-2017,087002,Asma,1,2
2009-2017,087002,Malattie dell'apparato digerente,19,21
2009-2017,087002,"Ulcera dello stomaco, duodeno e digiuno",1,2
2009-2017,087002,Malattie epatiche croniche,8,2
2009-2017,087002,Malattie del sistema osteomuscolare e del tessuto connettivo,1,3
2009-2017,087002,Artrite reumatoide e osteoartrite,0,1
2009-2017,087002,Malattie del sistema genitourinario,27,16
2009-2017,087002,Malattie del rene e dell'uretere,24,14
2009-2017,087002,Alcune condizioni che hanno origine nel periodo perinatale,3,3
2009-2017,087002,Malformazioni congenite e anormalità cromosomiche,0,1
2009-2017,087002,"Sintomi, segni, risultati anomali e cause mal definite",14,17
2009-2017,087002,Cause esterne di traumatismo e avvelenamento,20,11
2009-2017,087002,Accidenti,14,10
2009-2017,087002,Accidenti di trasporto,7,5
2009-2017,087002,Cadute accidentali,4,4
2009-2017,087002,Avvelenamento accidentale,2,1
2009-2017,087002,Suicidio e autolesione intenzionale,4,1
2009-2017,087002,Eventi di intento indeterminato,1,0
2009-2017,087003,Malattie infettive e parassitarie,5,4
2009-2017,087003,Tubercolosi,1,1
2009-2017,087003,Tumore,282,213
2009-2017,087003,Tumori maligni,278,208
2009-2017,087003,"Tumori maligni delle labbra, cavità orale e faringe",5,1
2009-2017,087003,Tumori maligni dell'esofago,6,1
2009-2017,087003,Tumori maligni dello stomaco,13,8
2009-2017,087003,Tumori maligni del colon,30,17
2009-2017,087003,Tumori maligni del retto e dell'ano,3,6
2009-2017,087003,Tumori maligni del fegato e dei dotti biliari intraepatici,14,9
2009-2017,087003,Tumori maligni del pancreas,12,20
2009-2017,087003,Tumori maligni della laringe e della trachea/bronchi/polm.,92,23
2009-2017,087003,Tumori maligni della cute,2,6
2009-2017,087003,Tumori maligni del seno,1,51
2009-2017,087003,Tumori maligni di altre parti dell'utero,0,8
2009-2017,087003,Tumori maligni dell'ovaio,0,6
2009-2017,087003,Tumori maligni della prostata,28,0
2009-2017,087003,Tumori maligni del rene,2,1
2009-2017,087003,Tumori maligni della vescica,14,5
2009-2017,087003,Tumori maligni del tessuto linfatico/ematopoietico,24,9
2009-2017,087003,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,3
2009-2017,087003,"Malattie endocrine, nutrizionali e metaboliche",47,59
2009-2017,087003,Diabete mellito,41,56
2009-2017,087003,Disturbi psichici e comportamentali,15,12
2009-2017,087003,Malattie del sistema nervoso e degli organi di senso,18,18
2009-2017,087003,Malattie del sistema circolatorio,267,243
2009-2017,087003,Malattie ischemiche del cuore,74,48
2009-2017,087003,Altre malattie del cuore,56,48
2009-2017,087003,Malattie cerebrovascolari,105,102
2009-2017,087003,Malattie del sistema respiratorio,64,51
2009-2017,087003,Influenza,1,0
2009-2017,087003,Polmonite,3,11
2009-2017,087003,Malattie croniche delle basse vie respiratorie,21,16
2009-2017,087003,Asma,0,1
2009-2017,087003,Malattie dell'apparato digerente,23,34
2009-2017,087003,"Ulcera dello stomaco, duodeno e digiuno",1,1
2009-2017,087003,Malattie epatiche croniche,8,14
2009-2017,087003,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,087003,Malattie del sistema osteomuscolare e del tessuto connettivo,2,3
2009-2017,087003,Artrite reumatoide e osteoartrite,1,1
2009-2017,087003,Malattie del sistema genitourinario,26,21
2009-2017,087003,Malattie del rene e dell'uretere,23,21
2009-2017,087003,Alcune condizioni che hanno origine nel periodo perinatale,4,2
2009-2017,087003,Malformazioni congenite e anormalità cromosomiche,4,1
2009-2017,087003,Malformazioni congenite del sistema nervoso,1,0
2009-2017,087003,"Sintomi, segni, risultati anomali e cause mal definite",21,23
2009-2017,087003,Cause esterne di traumatismo e avvelenamento,34,22
2009-2017,087003,Accidenti,24,18
2009-2017,087003,Accidenti di trasporto,14,2
2009-2017,087003,Cadute accidentali,5,13
2009-2017,087003,Avvelenamento accidentale,2,2
2009-2017,087003,Suicidio e autolesione intenzionale,6,3
2009-2017,087003,"Omicidio, aggressione",0,1
2009-2017,087003,Eventi di intento indeterminato,2,0
2009-2017,087004,Malattie infettive e parassitarie,0,6
2009-2017,087004,Epatite virale,0,1
2009-2017,087004,Tumore,657,551
2009-2017,087004,Tumori maligni,647,535
2009-2017,087004,"Tumori maligni delle labbra, cavità orale e faringe",9,6
2009-2017,087004,Tumori maligni dell'esofago,5,3
2009-2017,087004,Tumori maligni dello stomaco,39,27
2009-2017,087004,Tumori maligni del colon,60,70
2009-2017,087004,Tumori maligni del retto e dell'ano,10,9
2009-2017,087004,Tumori maligni del fegato e dei dotti biliari intraepatici,29,16
2009-2017,087004,Tumori maligni del pancreas,41,34
2009-2017,087004,Tumori maligni della laringe e della trachea/bronchi/polm.,167,61
2009-2017,087004,Tumori maligni della cute,7,3
2009-2017,087004,Tumori maligni del seno,2,116
2009-2017,087004,Tumori maligni della cervice uterina,0,2
2009-2017,087004,Tumori maligni di altre parti dell'utero,0,23
2009-2017,087004,Tumori maligni dell'ovaio,0,24
2009-2017,087004,Tumori maligni della prostata,76,0
2009-2017,087004,Tumori maligni del rene,2,0
2009-2017,087004,Tumori maligni della vescica,41,11
2009-2017,087004,Tumori maligni del tessuto linfatico/ematopoietico,65,48
2009-2017,087004,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,8,12
2009-2017,087004,"Malattie endocrine, nutrizionali e metaboliche",133,156
2009-2017,087004,Diabete mellito,122,142
2009-2017,087004,Disturbi psichici e comportamentali,25,51
2009-2017,087004,Malattie del sistema nervoso e degli organi di senso,69,53
2009-2017,087004,Malattie del sistema circolatorio,873,1068
2009-2017,087004,Malattie ischemiche del cuore,229,212
2009-2017,087004,Altre malattie del cuore,171,200
2009-2017,087004,Malattie cerebrovascolari,343,465
2009-2017,087004,Malattie del sistema respiratorio,176,152
2009-2017,087004,Influenza,4,2
2009-2017,087004,Polmonite,13,14
2009-2017,087004,Malattie croniche delle basse vie respiratorie,80,43
2009-2017,087004,Asma,1,2
2009-2017,087004,Malattie dell'apparato digerente,75,80
2009-2017,087004,"Ulcera dello stomaco, duodeno e digiuno",3,3
2009-2017,087004,Malattie epatiche croniche,38,25
2009-2017,087004,Malattie della pelle e del tessuto sottocutaneo,1,1
2009-2017,087004,Malattie del sistema osteomuscolare e del tessuto connettivo,2,12
2009-2017,087004,Artrite reumatoide e osteoartrite,0,6
2009-2017,087004,Malattie del sistema genitourinario,59,44
2009-2017,087004,Malattie del rene e dell'uretere,51,42
2009-2017,087004,Alcune condizioni che hanno origine nel periodo perinatale,7,6
2009-2017,087004,Malformazioni congenite e anormalità cromosomiche,4,3
2009-2017,087004,Malformazioni congenite del sistema nervoso,2,1
2009-2017,087004,Malformazioni congenite del sistema circolatorio,1,0
2009-2017,087004,"Sintomi, segni, risultati anomali e cause mal definite",47,72
2009-2017,087004,Cause sconosciute e non specificate,1,0
2009-2017,087004,Cause esterne di traumatismo e avvelenamento,79,50
2009-2017,087004,Accidenti,54,47
2009-2017,087004,Accidenti di trasporto,20,6
2009-2017,087004,Cadute accidentali,26,37
2009-2017,087004,Avvelenamento accidentale,6,2
2009-2017,087004,Suicidio e autolesione intenzionale,20,2
2009-2017,087004,"Omicidio, aggressione",2,0
2009-2017,087004,Eventi di intento indeterminato,3,0
2009-2017,087005,Malattie infettive e parassitarie,2,1
2009-2017,087005,Epatite virale,1,0
2009-2017,087005,Tumore,162,108
2009-2017,087005,Tumori maligni,160,107
2009-2017,087005,"Tumori maligni delle labbra, cavità orale e faringe",4,0
2009-2017,087005,Tumori maligni dell'esofago,2,0
2009-2017,087005,Tumori maligni dello stomaco,9,2
2009-2017,087005,Tumori maligni del colon,19,19
2009-2017,087005,Tumori maligni del retto e dell'ano,5,4
2009-2017,087005,Tumori maligni del fegato e dei dotti biliari intraepatici,9,4
2009-2017,087005,Tumori maligni del pancreas,8,6
2009-2017,087005,Tumori maligni della laringe e della trachea/bronchi/polm.,47,10
2009-2017,087005,Tumori maligni della cute,0,2
2009-2017,087005,Tumori maligni del seno,0,30
2009-2017,087005,Tumori maligni della cervice uterina,0,1
2009-2017,087005,Tumori maligni di altre parti dell'utero,0,3
2009-2017,087005,Tumori maligni dell'ovaio,0,8
2009-2017,087005,Tumori maligni della prostata,14,0
2009-2017,087005,Tumori maligni del rene,1,1
2009-2017,087005,Tumori maligni della vescica,9,1
2009-2017,087005,Tumori maligni del tessuto linfatico/ematopoietico,7,9
2009-2017,087005,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,3,1
2009-2017,087005,"Malattie endocrine, nutrizionali e metaboliche",30,33
2009-2017,087005,Diabete mellito,26,31
2009-2017,087005,Disturbi psichici e comportamentali,3,18
2009-2017,087005,Malattie del sistema nervoso e degli organi di senso,23,20
2009-2017,087005,Meningite (diverso da 03),1,0
2009-2017,087005,Malattie del sistema circolatorio,179,227
2009-2017,087005,Malattie ischemiche del cuore,48,47
2009-2017,087005,Altre malattie del cuore,33,30
2009-2017,087005,Malattie cerebrovascolari,66,96
2009-2017,087005,Malattie del sistema respiratorio,33,29
2009-2017,087005,Influenza,0,2
2009-2017,087005,Polmonite,2,6
2009-2017,087005,Malattie croniche delle basse vie respiratorie,12,4
2009-2017,087005,Asma,0,3
2009-2017,087005,Malattie dell'apparato digerente,17,15
2009-2017,087005,"Ulcera dello stomaco, duodeno e digiuno",2,0
2009-2017,087005,Malattie epatiche croniche,6,3
2009-2017,087005,Malattie del sistema genitourinario,11,5
2009-2017,087005,Malattie del rene e dell'uretere,10,4
2009-2017,087005,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,087005,"Sintomi, segni, risultati anomali e cause mal definite",14,17
2009-2017,087005,Cause esterne di traumatismo e avvelenamento,20,6
2009-2017,087005,Accidenti,10,5
2009-2017,087005,Accidenti di trasporto,3,0
2009-2017,087005,Cadute accidentali,5,5
2009-2017,087005,Avvelenamento accidentale,1,0
2009-2017,087005,Suicidio e autolesione intenzionale,4,0
2009-2017,087005,"Omicidio, aggressione",3,1
2009-2017,087005,Eventi di intento indeterminato,1,0
2009-2017,087006,Malattie infettive e parassitarie,3,2
2009-2017,087006,Tumore,380,256
2009-2017,087006,Tumori maligni,377,255
2009-2017,087006,"Tumori maligni delle labbra, cavità orale e faringe",7,4
2009-2017,087006,Tumori maligni dell'esofago,2,2
2009-2017,087006,Tumori maligni dello stomaco,26,13
2009-2017,087006,Tumori maligni del colon,44,39
2009-2017,087006,Tumori maligni del retto e dell'ano,10,10
2009-2017,087006,Tumori maligni del fegato e dei dotti biliari intraepatici,26,15
2009-2017,087006,Tumori maligni del pancreas,16,11
2009-2017,087006,Tumori maligni della laringe e della trachea/bronchi/polm.,106,16
2009-2017,087006,Tumori maligni della cute,1,0
2009-2017,087006,Tumori maligni del seno,0,44
2009-2017,087006,Tumori maligni di altre parti dell'utero,0,12
2009-2017,087006,Tumori maligni dell'ovaio,0,7
2009-2017,087006,Tumori maligni della prostata,31,0
2009-2017,087006,Tumori maligni del rene,4,5
2009-2017,087006,Tumori maligni della vescica,24,4
2009-2017,087006,Tumori maligni del tessuto linfatico/ematopoietico,32,23
2009-2017,087006,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,5,7
2009-2017,087006,"Malattie endocrine, nutrizionali e metaboliche",33,34
2009-2017,087006,Diabete mellito,28,24
2009-2017,087006,Disturbi psichici e comportamentali,4,7
2009-2017,087006,"Dipendenza da droghe, tossicomania",1,0
2009-2017,087006,Malattie del sistema nervoso e degli organi di senso,34,42
2009-2017,087006,Malattie del sistema circolatorio,655,758
2009-2017,087006,Malattie ischemiche del cuore,138,84
2009-2017,087006,Altre malattie del cuore,98,119
2009-2017,087006,Malattie cerebrovascolari,162,231
2009-2017,087006,Malattie del sistema respiratorio,102,53
2009-2017,087006,Polmonite,4,8
2009-2017,087006,Malattie croniche delle basse vie respiratorie,76,35
2009-2017,087006,Malattie dell'apparato digerente,42,39
2009-2017,087006,"Ulcera dello stomaco, duodeno e digiuno",1,1
2009-2017,087006,Malattie epatiche croniche,25,17
2009-2017,087006,Malattie della pelle e del tessuto sottocutaneo,1,2
2009-2017,087006,Malattie del sistema osteomuscolare e del tessuto connettivo,1,7
2009-2017,087006,Artrite reumatoide e osteoartrite,0,3
2009-2017,087006,Malattie del sistema genitourinario,54,57
2009-2017,087006,Malattie del rene e dell'uretere,52,57
2009-2017,087006,Alcune condizioni che hanno origine nel periodo perinatale,7,8
2009-2017,087006,Malformazioni congenite e anormalità cromosomiche,11,4
2009-2017,087006,Malformazioni congenite del sistema nervoso,7,1
2009-2017,087006,Malformazioni congenite del sistema circolatorio,2,0
2009-2017,087006,"Sintomi, segni, risultati anomali e cause mal definite",47,69
2009-2017,087006,Cause sconosciute e non specificate,1,0
2009-2017,087006,Cause esterne di traumatismo e avvelenamento,48,8
2009-2017,087006,Accidenti,29,6
2009-2017,087006,Accidenti di trasporto,19,2
2009-2017,087006,Cadute accidentali,5,3
2009-2017,087006,Avvelenamento accidentale,3,0
2009-2017,087006,Suicidio e autolesione intenzionale,12,1
2009-2017,087006,"Omicidio, aggressione",7,0
2009-2017,087007,Malattie infettive e parassitarie,3,4
2009-2017,087007,Epatite virale,0,1
2009-2017,087007,Tumore,250,180
2009-2017,087007,Tumori maligni,247,173
2009-2017,087007,"Tumori maligni delle labbra, cavità orale e faringe",1,2
2009-2017,087007,Tumori maligni dell'esofago,2,2
2009-2017,087007,Tumori maligni dello stomaco,18,13
2009-2017,087007,Tumori maligni del colon,23,21
2009-2017,087007,Tumori maligni del retto e dell'ano,6,4
2009-2017,087007,Tumori maligni del fegato e dei dotti biliari intraepatici,23,9
2009-2017,087007,Tumori maligni del pancreas,14,14
2009-2017,087007,Tumori maligni della laringe e della trachea/bronchi/polm.,60,10
2009-2017,087007,Tumori maligni della cute,1,0
2009-2017,087007,Tumori maligni del seno,0,32
2009-2017,087007,Tumori maligni di altre parti dell'utero,0,14
2009-2017,087007,Tumori maligni dell'ovaio,0,5
2009-2017,087007,Tumori maligni della prostata,23,0
2009-2017,087007,Tumori maligni del rene,4,2
2009-2017,087007,Tumori maligni della vescica,14,1
2009-2017,087007,Tumori maligni del tessuto linfatico/ematopoietico,29,17
2009-2017,087007,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,7,4
2009-2017,087007,"Malattie endocrine, nutrizionali e metaboliche",67,85
2009-2017,087007,Diabete mellito,63,76
2009-2017,087007,Disturbi psichici e comportamentali,12,19
